CIDADE;UF_CIDADE;TIPO
Abacate da Pedreira (Macapá);AP;Povoado
Abadia (Jandaíra);BA;Distrito
Abadia de Goiás;GO;
Abadia dos Dourados;MG;
Abadiânia;GO;
Abaetetuba;PA;
Abaeté;MG;
Abaeté dos Mendes (Rio Paranaíba);MG;Distrito
Abaiara;CE;
Abapã (Castro);PR;Distrito
Abarracamento (Rio das Flores);RJ;Distrito
Abaré;BA;
Abatiá;PR;
Abaíba (Leopoldina);MG;Distrito
Abaíra;BA;
Abdon Batista;SC;
Abel Figueiredo;PA;
Abelardo Luz;SC;
Abelhas (Vitória da Conquista);BA;Povoado
Abrantes (Camaçari);BA;Distrito
Abre Campo;MG;
Abreu e Lima;PE;
Abreulândia;TO;
Abreus (Alto Rio Doce);MG;Distrito
Abunã (Porto Velho);RO;Distrito
Abílio Martins (Ipu);CE;Povoado
Abóbora (Juazeiro);BA;Distrito
Acaiaca;MG;
Acajutiba;BA;
Acampamento das Minas (Telêmaco Borba);PR;Povoado
Acarape;CE;
Acaraú;CE;
Acari;RN;
Acará;PA;
Acauã;PI;
Aceguá;RS;
Acioli (João Neiva);ES;Distrito
Acopiara;CE;
Acorizal;MT;
Acrelândia;AC;
Acreúna;GO;
Acupe (Santo Amaro);BA;Distrito
Acuruí (Itabirito);MG;Distrito
Adamantina;SP;
Adelândia;GO;
Adhemar de Barros (Terra Rica);PR;Distrito
Adolfo;SP;
Adrianópolis;PR;
Adrianópolis (Granja);CE;Distrito
Adro de São Gonçalo (Itiúba);BA;Povoado
Adustina;BA;
Adão Colares (Botumirim);MG;Distrito
Afligidos (São Gonçalo dos Campos);BA;Distrito
Afogados da Ingazeira;PE;
Afonso Arinos (Comendador Levy Gasparian);RJ;Distrito
Afonso Bezerra;RN;
Afonso Cláudio;ES;
Afonso Cunha;MA;
Afonso Rodrigues (São Luiz Gonzaga);RS;Distrito
Afrânio;PE;
Afrânio Peixoto (Lençóis);BA;Distrito
Afuá;PA;
Aghá (Piúma);ES;Distrito
Agisse (Rancharia);SP;Distrito
Agostinho (Castro);PR;Povoado
Agrestina;PE;
Agricolândia;PI;
Agrolândia;SC;
Agronômica;SC;
Agrovila São Sebastião do Caburi (Parintins);AM;Povoado
Agrópolis Bela Vista (Santarém);PA;Povoado
Aguanil;MG;
Aguapeí (Vila Bela da Santíssima Trindade);MT;Distrito
Aguapés (Osório);RS;Distrito
Aguaçu (Cuiabá);MT;Povoado
Aguaí;SP;
Aguaí (Itapajé);CE;Distrito
Agudo;RS;
Agudos;SP;
Agudos do Sul;PR;
Aguiar;PB;
Aguiarnópolis;TO;
Agulha (Fernando Prestes);SP;Distrito
Aguti (Nova Trento);SC;Distrito
Aimorés;MG;
Ainhumas (Rondonópolis);MT;Distrito
Aiquara;BA;
Airi (Floresta);PE;Distrito
Airituba (São José do Calçado);ES;Distrito
Aiuaba;CE;
Aiuruoca;MG;
Aiurê (Grão Pará);SC;Distrito
Aiuá (Massapê);CE;Distrito
Ajuricaba;RS;
Alagoa;MG;
Alagoa Grande;PB;
Alagoa Nova;PB;
Alagoinha;PB;
Alagoinha;PE;
Alagoinha (Araripe);CE;Distrito
Alagoinha (Paraipaba);CE;Distrito
Alagoinha do Piauí;PI;
Alagoinhas;BA;
Alambari;SP;
Alazans (Ipueiras);CE;Distrito
Albardão (Rio Pardo);RS;Distrito
Albertina;MG;
Alberto Isaacson (Martinho Campos);MG;Distrito
Albertos (Formiga);MG;Distrito
Albuquerque (Corumbá);MS;Distrito
Albuquerque Né (Sertânia);PE;Distrito
Alcantil;PB;
Alcantilado (Guiratinga);MT;Distrito
Alcinópolis;MS;
Alcobaça;BA;
Alcântara;MA;
Alcântaras;CE;
Aldeia (Conselheiro Pena);MG;Distrito
Aldeias Altas;MA;
Alecrim;RS;
Alecrim (Curiúva);PR;Distrito
Alecrim (Pão de Açúcar);AL;Distrito
Alegre;ES;
Alegre (Condeúba);BA;Distrito
Alegre (Coromandel);MG;Distrito
Alegrete;RS;
Alegrete do Piauí;PI;
Alegria;RS;
Alegria (Simonésia);MG;Distrito
Alenquer;PA;
Alexandra (Paranaguá);PR;Distrito
Alexandria;RN;
Alexandrita (Iturama);MG;Distrito
Alexânia;GO;
Alfenas;MG;
Alfredo Brenner (Ibirubá);RS;Distrito
Alfredo Chaves;ES;
Alfredo Guedes (Lençóis Paulista);SP;Distrito
Alfredo Marcondes;SP;
Alfredo Vasconcelos;MG;
Alfredo Wagner;SC;
Algodoal (Maracanã);PA;Distrito
Algodão (Ibirataia);BA;Distrito
Algodão de Jandaíra;PB;
Algodões (Quijingue);BA;Distrito
Algodões (Quiterianópolis);CE;Distrito
Algodões (Sertânia);PE;Distrito
Alhandra;PB;
Aliança;PE;
Aliança do Tocantins;TO;
Almadina;BA;
Almas;TO;
Almeida (Jaboticatubas);MG;Distrito
Almeirim;PA;
Almenara;MG;
Almino Afonso;RN;
Almirante Tamandaré;PR;
Almirante Tamandaré do Sul;RS;
Almofala (Itarema);CE;Distrito
Almoço (Bragança);PA;Distrito
Aloândia;GO;
Alpercata;MG;
Alpestre;RS;
Alpinópolis;MG;
Alta Floresta;MT;
Alta Floresta D'Oeste;RO;
Alta Pará (Santarém);PA;Povoado
Altair;SP;
Altamira;PA;
Altamira do Maranhão;MA;
Altamira do Paraná;PR;
Altaneira;CE;
Altaneira (Maringá);PR;Povoado
Alter do Chão (Santarém);PA;Distrito
Alterosa;MG;
Altinho;PE;
Altinópolis;SP;
Alto Alegre;RR;
Alto Alegre;RS;
Alto Alegre;SP;
Alto Alegre (Capinzal);SC;Distrito
Alto Alegre (Cerrito);RS;Distrito
Alto Alegre (Colorado);PR;Distrito
Alto Alegre (Pedro Osório);RS;Distrito
Alto Alegre (Umuarama);PR;Povoado
Alto Alegre do Iguaçu (Capitão Leônidas Marques);PR;Distrito
Alto Alegre do Maranhão;MA;
Alto Alegre do Pindaré;MA;
Alto Alegre dos Parecis;RO;
Alto Alvorada (Orizona);GO;Distrito
Alto Amparo (Telêmaco Borba);PR;Povoado
Alto Araguaia;MT;
Alto Bela Vista;SC;
Alto Belo (Bocaiúva);MG;Distrito
Alto Boa Vista;MT;
Alto Bonito (Mundo Novo);BA;Distrito
Alto Caldeirão (Santa Teresa);ES;Distrito
Alto Calçado (São José do Calçado);ES;Distrito
Alto Caparaó;MG;
Alto Capim (Aimorés);MG;Distrito
Alto Castelinho (Vargem Alta);ES;Distrito
Alto Coité (Poxoréu);MT;Distrito
Alto da Serra (Chapecó);SC;Distrito
Alto da União (Ijuí);RS;Distrito
Alto de Santa Helena (Governador Valadares);MG;Distrito
Alto do Amparo (Tibagi);PR;Distrito
Alto do Rodrigues;RN;
Alto Erval Novo (Três Passos);RS;Distrito
Alto Feliz;RS;
Alto Garças;MT;
Alto Horizonte;GO;
Alto Jequitibá;MG;
Alto Juruena (Comodoro);MT;Distrito
Alto Lindo (Ibiapina);CE;Distrito
Alto Longá;PI;
Alto Maranhão (Congonhas);MG;Distrito
Alto Mutum Preto (Baixo Guandu);ES;Distrito
Alto Norte (Muniz Freire);ES;Distrito
Alto Paraguai;MT;
Alto Paraná;PR;
Alto Paraíso;PR;
Alto Paraíso;RO;
Alto Paraíso (Alta Floresta);MT;Distrito
Alto Paraíso de Goiás;GO;
Alto Paredão (Santa Cruz do Sul);RS;Distrito
Alto Parnaíba;MA;
Alto Pará (Cascavel);PR;Povoado
Alto Piquiri;PR;
Alto Porã (Ivaiporã);PR;Distrito
Alto Porã (Pedregulho);SP;Distrito
Alto Recreio (Ronda Alta);RS;Distrito
Alto Rio Doce;MG;
Alto Rio Novo;ES;
Alto Sabiá (Guarapuava);PR;Povoado
Alto Santa Fé (Nova Santa Rosa);PR;Distrito
Alto Santa Maria (Santa Teresa);ES;Distrito
Alto Santo;CE;
Alto Sucuriú (Paraíso das Águas);MS;Distrito
Alto São João (Roncador);PR;Distrito
Alto Taquari;MT;
Alto Uruguai (Tiradentes do Sul);RS;Distrito
Alto Uruguai (Três Passos);RS;Distrito
Altolândia (Tapiraí);MG;Distrito
Altos;PI;
Altos Verdes (Carira);SE;Distrito
Altônia;PR;
Alumínio;SP;
Alvarenga;MG;
Alvarães;AM;
Alvação (Coração de Jesus);MG;Distrito
Alverne (Alagoinha);PE;Povoado
Alvinlândia;SP;
Alvinópolis;MG;
Alvorada;RS;
Alvorada;TO;
Alvorada (Carangola);MG;Distrito
Alvorada (Itaituba);PA;Povoado
Alvorada (Uruará);PA;Distrito
Alvorada D'Oeste;RO;
Alvorada de Minas;MG;
Alvorada do Gurguéia;PI;
Alvorada do Iguaçu (Foz do Iguaçu);PR;Distrito
Alvorada do Norte;GO;
Alvorada do Sul;PR;
Além Paraíba;MG;
Amado Bahia (Mata de São João);BA;Distrito
Amajari;RR;
Amambaí;MS;
Amanaiara (Reriutaba);CE;Distrito
Amanari (Maranguape);CE;Distrito
Amanda (Baldim);MG;Distrito
Amandaba (Mirandópolis);SP;Distrito
Amandina (Ivinhema);MS;Distrito
Amanhece (Araguari);MG;Distrito
Amaniutuba (Lavras da Mangabeira);CE;Distrito
Amaniú (Sento Sé);BA;Distrito
Amaporã;PR;
Amapá;AP;
Amapá do Maranhão;MA;
Amaraji;PE;
Amaral Ferrador;RS;
Amaralina;GO;
Amarante;PI;
Amarante do Maranhão;MA;
Amarantina (Ouro Preto);MG;Distrito
Amarelas (Camocim);CE;Distrito
Amargosa;BA;
Amaro (Assaré);CE;Distrito
Amatari (Itacoatiara);AM;Distrito
Amaturá;AM;
Ambé (Macapá);AP;Povoado
Ameixas (Cumaru);PE;Distrito
Americana;SP;
Americano (Santa Isabel do Pará);PA;Distrito
Americano do Brasil;GO;
Ametista do Sul;RS;
Amolar (Corumbá);MS;Distrito
Amontada;CE;
Amoras (Taquari);RS;Distrito
Amorinha (Ibaiti);PR;Distrito
Amorinópolis;GO;
Amparo;PB;
Amparo;SP;
Amparo da Serra;MG;
Amparo de São Francisco;SE;
Ampére;PR;
Amélia Rodrigues;BA;
América (Ipueiras);CE;Distrito
América Dourada;BA;
Américo Alves (Sento Sé);BA;Distrito
Américo Brasiliense;SP;
Américo de Campos;SP;
Ana Dias (Itariri);SP;Distrito
Anadia;AL;
Anagé;BA;
Anahy;PR;
Anajanópolis (Pedro Afonso);TO;Distrito
Anajatuba;MA;
Anajás;PA;
Analândia;SP;
Analândia do Norte (Marcelândia);MT;Distrito
Anamã;AM;
Ananindeua;PA;
Ananás;TO;
Anapu;PA;
Anapurus;MA;
Anastácio;MS;
Anaurilândia;MS;
Anauá (Mauriti);CE;Distrito
Anchieta;ES;
Anchieta;SC;
Andaraí;BA;
Andiroba (Esmeraldas);MG;Distrito
Andirá;PR;
Andorinha;BA;
Andorinhas (Castro);PR;Povoado
Andradas;MG;
Andrade Pinto (Vassouras);RJ;Distrito
Andradina;SP;
Andrelândia;MG;
Andrequicé (Três Marias);MG;Distrito
André da Rocha;RS;
Anel (Viçosa);AL;Distrito
Angai (Fernandes Pinheiro);PR;Distrito
Angatuba;SP;
Angaturama (Recreio);MG;Distrito
Angelim;PE;
Angelina;SC;
Angelândia;MG;
Angical;BA;
Angical do Piauí;PI;
Angico;TO;
Angico (Mairi);BA;Distrito
Angicos;RN;
Angicos de Minas (Brasília de Minas);MG;Distrito
Angra dos Reis;RJ;
Anguera;BA;
Angueretá (Curvelo);MG;Distrito
Angustura (Além Paraíba);MG;Distrito
Angélica;MS;
Anhandui (Campo Grande);MS;Distrito
Anhangüera;GO;
Anhembi;SP;
Anhumas;SP;
Anicuns;GO;
Anil (Meruoca);CE;Distrito
Aningás (Horizonte);CE;Distrito
Anita Garibaldi;SC;
Anitápolis;SC;
Anjinhos (Santana do Cariri);CE;Distrito
Anori;AM;
Anta (Sapucaia);RJ;Distrito
Anta Gorda;RS;
Anta Gorda (Videira);SC;Distrito
Antarí (Barra do Mendes);BA;Distrito
Antas;BA;
Antas (Laranjeiras do Sul);PR;Povoado
Antas (Telêmaco Borba);PR;Povoado
Antonina;PR;
Antonina do Norte;CE;
Antunes (Igaratinga);MG;Distrito
Antônio Almeida;PI;
Antônio Brandão de Oliveira (Jataizinho);PR;Distrito
Antônio Cardoso;BA;
Antônio Carlos;MG;
Antônio Carlos;SC;
Antônio Diogo (Redenção);CE;Distrito
Antônio dos Santos (Caeté);MG;Distrito
Antônio Ferreira (Franciscópolis);MG;Distrito
Antônio Gonçalves;BA;
Antônio João;MS;
Antônio Kerpel (Coronel Bicaco);RS;Distrito
Antônio Lemos (Breves);PA;Distrito
Antônio Marques (Maranguape);CE;Distrito
Antônio Martins;RN;
Antônio Olinto;PR;
Antônio Pereira (Ouro Preto);MG;Distrito
Antônio Prado;RS;
Antônio Prado de Minas;MG;
Anum Novo (Palmeira dos Índios);AL;Povoado
Anum Velho (Palmeira dos Índios);AL;Povoado
Anunciação (Santa Izabel do Oeste);PR;Distrito
Anutiba (Alegre);ES;Distrito
Anápolis;GO;
Anápolis (Iacri);SP;Distrito
Anísio de Abreu;PI;
Aparecida;PB;
Aparecida;SP;
Aparecida (Sanclerlândia);GO;Distrito
Aparecida D'Oeste;SP;
Aparecida de Goiás (Itapaci);GO;Distrito
Aparecida de Goiânia;GO;
Aparecida de Minas (Frutal);MG;Distrito
Aparecida de Monte Alto (Monte Alto);SP;Distrito
Aparecida de São Manuel (São Manuel);SP;Distrito
Aparecida do Bonito (Santa Rita D'Oeste);SP;Distrito
Aparecida do Ivaí (Santa Mônica);PR;Distrito
Aparecida do Mundo Novo (Montes Claros);MG;Distrito
Aparecida do Oeste (Tuneiras do Oeste);PR;Distrito
Aparecida do Rio Claro (Montes Claros de Goiás);GO;Distrito
Aparecida do Rio Doce;GO;
Aparecida do Rio Negro;TO;
Aparecida do Taboado;MS;
Aperibé;RJ;
Apiaba (Imbituva);PR;Distrito
Apiacá;ES;
Apiacás;MT;
Apiaí;SP;
Apiaí-Mirim (Capão Bonito);SP;Distrito
Apicum-Açu;MA;
Apinagés (São João do Araguaia);PA;Distrito
Apinajé (São Valério da Natividade);TO;Distrito
Apiúna;SC;
Apodi;RN;
Aporema (Tartarugalzinho);AP;Distrito
Aporá;BA;
Aporé;GO;
Apoti (Glória do Goitá);PE;Distrito
Aprazível (Sobral);CE;Distrito
Apuarema;BA;
Apucarana;PR;
Apuiarés;CE;
Apuí;AM;
Aquidaban (Marialva);PR;Distrito
Aquidabã;SE;
Aquidauana;MS;
Aquinópolis (Jaguaribe);CE;Distrito
Aquiraz;CE;
Arabela (Ouro Verde);SP;Distrito
Arabutã;SC;
Arabá (Ouroeste);SP;Povoado
Aracaju;SE;
Aracati;CE;
Aracati de Minas (Cataguases);MG;Distrito
Aracatiara (Amontada);CE;Distrito
Aracatiaçu (Sobral);CE;Distrito
Aracatu;BA;
Aracaçu (Buri);SP;Distrito
Araci;BA;
Aracitaba;MG;
Aracoiaba;CE;
Aracruz;ES;
Aracui (Castelo);ES;Distrito
Aracê (Domingos Martins);ES;Distrito
Aragarças;GO;
Aragaçuí (Caseara);TO;Distrito
Aragoiânia;GO;
Aragominas;TO;
Araguacema;TO;
Araguaia (Marechal Floriano);ES;Distrito
Araguaiana;MT;
Araguainha;MT;
Araguanã;MA;
Araguanã;TO;
Araguapaz;GO;
Araguari;MG;
Araguatins;TO;
Araguaçu;TO;
Araguaína;TO;
Araióses;MA;
Arajara (Barbalha);CE;Distrito
Aral Moreira;MS;
Aramari;BA;
Arambaré;RS;
Arame;MA;
Aramina;SP;
Aramirim (Açucena);MG;Distrito
Aranaú (Acaraú);CE;Distrito
Arandu;SP;
Aranha (Brumadinho);MG;Distrito
Aranha (Colombo);PR;Povoado
Arantina;MG;
Arantina (Acreúna);GO;Distrito
Arapari (Itapipoca);CE;Distrito
Arapeí;SP;
Arapiraca;AL;
Arapiranga (Rio de Contas);BA;Distrito
Arapixuna (Santarém);PA;Distrito
Arapoema;TO;
Araponga;MG;
Arapongas;PR;
Araporanga (Santana do Cariri);CE;Distrito
Araporã;MG;
Arapoti;PR;
Arapuan (Janiópolis);PR;Distrito
Araputanga;MT;
Arapuá;MG;
Arapuã;PR;
Arapuã (Três Lagoas);MS;Distrito
Arapá (Tianguá);CE;Distrito
Araquaim (Curuçá);PA;Distrito
Araquari;SC;
Araquém (Coreaú);CE;Distrito
Arara;PB;
Araranguá;SC;
Ararapira (Guaraqueçaba);PR;Distrito
Araraquara;SP;
Araras;SP;
Araras (Caapiranga);AM;Povoado
Araraí (Alegre);ES;Distrito
Ararendá;CE;
Arari;MA;
Araricá;RS;
Araripe;CE;
Araripina;PE;
Arariús (Cariré);CE;Distrito
Araruama;RJ;
Araruna;PB;
Araruna;PR;
Arataca;BA;
Aratama (Assaré);CE;Distrito
Aratiba;RS;
Araticum (Ubajara);CE;Distrito
Aratuba;CE;
Aratuípe;BA;
Araucária;PR;
Arauá;SE;
Araxá;MG;
Araxás (Presidente Bernardes);SP;Distrito
Araçagi;PB;
Araçaji de Minas (Pedra Azul);MG;Distrito
Araçariguama;SP;
Araçatuba;SP;
Araçaí;MG;
Araçaíba (Apiaí);SP;Distrito
Araçoiaba;PE;
Araçoiaba da Serra;SP;
Araçu;GO;
Araçuaí;MG;
Araçás;BA;
Araçás (Paracuru);CE;Distrito
Araújos;MG;
Araúna (Guapé);MG;Distrito
Arceburgo;MG;
Arco Verde (Carlos Barbosa);RS;Distrito
Arco-Íris;SP;
Arco-Íris (Erval Seco);RS;Distrito
Arco-Íris (Paragominas);PA;Povoado
Arcos;MG;
Arcoverde;PE;
Areado;MG;
Areado (São Gabriel do Oeste);MS;Distrito
Areal;RJ;
Arealva;SP;
Areia;PB;
Areia Branca;RN;
Areia Branca;SE;
Areia Branca (Jussari);BA;Distrito
Areia Branca dos Assis (Mandirituba);PR;Distrito
Areia de Baraúnas;PB;
Areial;PB;
Areial (Santa Quitéria);CE;Distrito
Areias;SP;
Areias (Bezerros);PE;Povoado
Areias (Camaçari);BA;Povoado
Areias (Castro);PR;Povoado
Areias (Melgaço);PA;Distrito
Areias (Uiraúna);PB;Distrito
Areiópolis;SP;
Arembepe (Camaçari);BA;Povoado
Arenápolis;MT;
Arenópolis;GO;
Areré (Barreira);CE;Distrito
Arez;RN;
Argenita (Ibiá);MG;Distrito
Argirita;MG;
Argoim (Rafael Jambeiro);BA;Distrito
Argolo (Nova Viçosa);BA;Distrito
Ariaú (Barreirinha);AM;Distrito
Ariaú (Iranduba);AM;Distrito
Aribice (Euclides da Cunha);BA;Distrito
Aricanduva;MG;
Aricanduva (Arapongas);PR;Povoado
Arinos;MG;
Aripibu (Ribeirão);PE;Distrito
Aripuanã;MT;
Ariquemes;RO;
Ariranha;SP;
Ariranha do Ivaí;PR;
Ariri (Cananéia);SP;Distrito
Ariri (Macapá);AP;Povoado
Ariscos dos Marianos (Ocara);CE;Distrito
Aristides Batista (Coração de Jesus);MG;Distrito
Aritaguá (Ilhéus);BA;Distrito
Arizona (Afrânio);PE;Distrito
Arlindo (Venâncio Aires);RS;Distrito
Armazém;SC;
Armação dos Búzios;RJ;
Arneiroz;CE;
Arnópolis (Alfredo Wagner);SC;Distrito
Aroazes;PI;
Aroeira (Cascavel);PR;Povoado
Aroeiras;PB;
Aroeiras (Coreaú);CE;Distrito
Aroeiras (Pantano Grande);RS;Distrito
Aroeiras do Itaim;PI;
Arquimedes (Cascavel);PR;Povoado
Arraial;PI;
Arraial D'Ajuda (Porto Seguro);BA;Distrito
Arraial do Cabo;RJ;
Arraias;TO;
Arroio Bonito (Mato Leitão);RS;Distrito
Arroio Canoas (Barão);RS;Distrito
Arroio do Meio;RS;
Arroio do Ouro (Vale Real);RS;Distrito
Arroio do Padre;RS;
Arroio do Sal;RS;
Arroio do Só (Santa Maria);RS;Distrito
Arroio do Tigre;RS;
Arroio dos Mengues (Dom Pedro de Alcântara);RS;Distrito
Arroio dos Ratos;RS;
Arroio Grande;RS;
Arroio Grande (Santa Maria);RS;Distrito
Arroio Grande (Selbach);RS;Distrito
Arroio Teixeira (Capão da Canoa);RS;Distrito
Arroio Trinta;SC;
Arrojado (Lavras da Mangabeira);CE;Distrito
Arrozal (Piraí);RJ;Distrito
Arruda (Rosário Oeste);MT;Distrito
Artur Nogueira;SP;
Aruanã;GO;
Aruaru (Morada Nova);CE;Distrito
Arujá;SP;
Arumanduba (Almeirim);PA;Distrito
Aruri (Itaituba);PA;Povoado
Arvoredo;SC;
Arvorezinha;RS;
Ascurra;SC;
Aspásia;SP;
Assaraí (Pocrane);MG;Distrito
Assari (Barra do Bugres);MT;Distrito
Assaré;CE;
Assaí;PR;
Assis;SP;
Assis (Crateús);CE;Distrito
Assis Brasil;AC;
Assis Chateaubriand;PR;
Assunção;PB;
Assunção (Itapipoca);CE;Distrito
Assunção (Solonópole);CE;Distrito
Assunção do Piauí;PI;
Astolfo Dutra;MG;
Astorga;PR;
Atafona (Santo Ângelo);RS;Distrito
Atalaia;AL;
Atalaia;PR;
Atalaia do Norte;AM;
Atalanta;SC;
Ataléia;MG;
Atapus (Goiana);PE;Povoado
Aterrado Torto (Pouso Redondo);SC;Distrito
Atiaçu (Sarandi);RS;Distrito
Atibaia;SP;
Atlântico (Santa Vitória do Palmar);RS;Distrito
Atlântida (Flórida Paulista);SP;Distrito
Aturiaí (Augusto Corrêa);PA;Distrito
Atílio Vivácqua;ES;
Augustinópolis;TO;
Augusto Corrêa;PA;
Augusto de Lima;MG;
Augusto Montenegro (Urucurituba);AM;Distrito
Augusto Pestana;RS;
Aurelino Leal;BA;
Auriflama;SP;
Aurilândia;GO;
Auriverde (Crixás);GO;Distrito
Aurizona (Godofredo Viana);MA;Distrito
Aurora;CE;
Aurora;SC;
