"id";"data_hora";"status"
"0005JKxVUFnQQCexh5iK";"2022-02-14 16:55:41";inicializado
"0005JKxVUFnQQCexh5iK";"2022-02-14 16:56:30";pagamento_autorizado
"0005JKxVUFnQQCexh5iK";"2022-02-14 18:44:20";etiqueta_postada
"0005JKxVUFnQQCexh5iK";"2022-02-14 18:44:30";completo
"000AHmknyZVI49NjkGhC";"2022-04-04 23:14:17";inicializado
"000dlfIViJq71KDpkGHw";"2022-06-28 14:54:39";inicializado
"000dlfIViJq71KDpkGHw";"2022-06-28 14:59:27";pagamento_autorizado
"000dlfIViJq71KDpkGHw";"2022-06-28 15:26:29";etiqueta_postada
"000dlfIViJq71KDpkGHw";"2022-06-28 15:26:31";completo
"000e2Z7Y0a6HhJob9gg9";"2022-08-25 16:46:07";inicializado
"000e2Z7Y0a6HhJob9gg9";"2022-08-25 16:49:21";pagamento_autorizado
"000e2Z7Y0a6HhJob9gg9";"2022-08-25 20:20:31";etiqueta_postada
"000e2Z7Y0a6HhJob9gg9";"2022-08-25 20:20:40";completo
"000E5wDpZs5pP7mszReG";"2022-06-24 23:04:15";inicializado
"000n4kzV2qWSwKnBX6sh";"2022-06-03 19:04:27";inicializado
"000n4kzV2qWSwKnBX6sh";"2022-06-03 19:11:11";pagamento_autorizado
"000n4kzV2qWSwKnBX6sh";"2022-06-03 20:14:39";etiqueta_postada
"000n4kzV2qWSwKnBX6sh";"2022-06-03 20:15:26";completo
"000qI9LJvkFHGQqzAkCK";"2022-03-16 00:46:07";inicializado
"000qI9LJvkFHGQqzAkCK";"2022-03-16 00:49:24";pagamento_autorizado
"000qI9LJvkFHGQqzAkCK";"2022-03-16 16:49:34";etiqueta_postada
"000qI9LJvkFHGQqzAkCK";"2022-03-16 16:49:48";completo
"000SjwLBEZMjA0FCgBkW";"2022-02-24 17:51:39";inicializado
"000SjwLBEZMjA0FCgBkW";"2022-02-24 17:53:28";pagamento_autorizado
"000SjwLBEZMjA0FCgBkW";"2022-02-25 19:46:26";etiqueta_postada
"000SjwLBEZMjA0FCgBkW";"2022-02-25 19:46:50";completo
"000yCMk2eoVV7S9En2iy";"2022-06-06 10:08:18";inicializado
"000yCMk2eoVV7S9En2iy";"2022-06-06 10:09:29";pagamento_autorizado
"000yCMk2eoVV7S9En2iy";"2022-06-07 00:17:26";etiqueta_postada
"000yCMk2eoVV7S9En2iy";"2022-06-07 00:17:29";completo
"001FLOgF3k5aRxkPP1nN";"2022-08-12 14:17:34";inicializado
"001ID33SViHhyxf5u4Uq";"2022-05-30 14:51:24";inicializado
"001ID33SViHhyxf5u4Uq";"2022-05-30 14:52:33";pagamento_autorizado
"001ID33SViHhyxf5u4Uq";"2022-05-30 19:31:32";etiqueta_postada
"001ID33SViHhyxf5u4Uq";"2022-05-30 19:31:57";completo
"001MS7qqtPFIzNPqfbKl";"2022-08-01 17:10:19";inicializado
"001MS7qqtPFIzNPqfbKl";"2022-08-01 17:15:52";pagamento_autorizado
"001NGrUqp3EYuBAtVY4k";"2022-08-18 20:01:18";inicializado
"001NGrUqp3EYuBAtVY4k";"2022-08-18 20:02:42";pagamento_autorizado
"001NGrUqp3EYuBAtVY4k";"2022-08-19 16:27:31";etiqueta_postada
"001NGrUqp3EYuBAtVY4k";"2022-08-19 16:27:37";completo
"001P09UYmHMxFKJMTRd9";"2022-02-05 12:29:23";inicializado
"001P09UYmHMxFKJMTRd9";"2022-02-05 12:30:44";pagamento_autorizado
"001RMpgxpETxlc1ucCxW";"2021-11-25 02:49:05";inicializado
"001RMpgxpETxlc1ucCxW";"2021-11-25 02:52:00";pagamento_autorizado
"001RMpgxpETxlc1ucCxW";"2021-11-25 17:17:28";etiqueta_postada
"001RMpgxpETxlc1ucCxW";"2021-11-25 17:17:37";completo
"002gAZidsnPgcUtmjIY5";"2022-07-20 16:12:08";inicializado
"002gAZidsnPgcUtmjIY5";"2022-07-20 16:13:22";pagamento_autorizado
"002gAZidsnPgcUtmjIY5";"2022-07-20 22:01:33";etiqueta_postada
"002gAZidsnPgcUtmjIY5";"2022-07-20 22:01:35";completo
"002H9NFGkGyyYkMccQY6";"2022-07-21 17:57:43";inicializado
"002H9NFGkGyyYkMccQY6";"2022-07-21 18:01:13";pagamento_autorizado
"002H9NFGkGyyYkMccQY6";"2022-07-21 19:24:37";etiqueta_postada
"002H9NFGkGyyYkMccQY6";"2022-07-21 19:24:44";completo
"002kqwYRsVjXHTAIkt3G";"2022-06-09 15:46:49";inicializado
"002kqwYRsVjXHTAIkt3G";"2022-06-09 15:47:53";pagamento_autorizado
"002kqwYRsVjXHTAIkt3G";"2022-06-09 18:20:35";etiqueta_postada
"002kqwYRsVjXHTAIkt3G";"2022-06-09 18:20:44";completo
"0037irnFXskq9ptlBbnp";"2022-06-29 14:50:11";inicializado
"0037irnFXskq9ptlBbnp";"2022-06-29 14:51:25";pagamento_autorizado
"0037irnFXskq9ptlBbnp";"2022-06-30 14:42:33";etiqueta_postada
"0037irnFXskq9ptlBbnp";"2022-06-30 14:42:35";completo
"003Kc79pOxcs8vCR8Vub";"2022-05-17 11:17:45";inicializado
"003Kc79pOxcs8vCR8Vub";"2022-05-17 11:18:36";pagamento_autorizado
"003Kc79pOxcs8vCR8Vub";"2022-05-17 20:10:26";etiqueta_postada
"003Kc79pOxcs8vCR8Vub";"2022-05-17 20:18:11";completo
"003tCOtcVaO7dIFOaKGQ";"2022-06-27 14:42:35";inicializado
"003YJ3vWbtEaVHBJKMbr";"2022-07-11 20:45:44";inicializado
"003YJ3vWbtEaVHBJKMbr";"2022-07-11 20:46:50";pagamento_autorizado
"003YJ3vWbtEaVHBJKMbr";"2022-07-12 14:57:29";etiqueta_postada
"003YJ3vWbtEaVHBJKMbr";"2022-07-12 14:57:31";completo
"0041YOiN3JupHrDPvJfr";"2022-08-04 12:35:52";inicializado
"0041YOiN3JupHrDPvJfr";"2022-08-04 12:38:54";pagamento_autorizado
"0041YOiN3JupHrDPvJfr";"2022-08-04 14:59:27";etiqueta_postada
"0041YOiN3JupHrDPvJfr";"2022-08-04 14:59:37";completo
"004e7ShfNf4nnS3yMbY2";"2022-04-04 21:01:52";inicializado
